job_id,title,company,location,salary_min,salary_max,salary_currency,experience_min,experience_max,employment_type,remote,description,skills,source,url,posted_date,scraped_at
DE001,Data Engineer,FPT Software,Ho Chi Minh City,25000000.0,40000000.0,VND,2.0,4.0,Full-time,False,Build and maintain scalable data pipelines for enterprise clients. Work with big data technologies and cloud platforms.,Python|SQL|Spark|AWS|Airflow,TopDev,https://topdev.vn/job/de001,2026-08-10,2026-08-14
DE002,Big Data Engineer,SeABank,Ho Chi Minh City,33000000.0,48000000.0,VND,3.0,4.0,Full-time,False,"Maintain distributed computing clusters (Hadoop, Spark, Kafka), tuning shuffle performance, and orchestrating batch ETL workloads. Primary technologies include Cassandra, HBase, Python, Flink.",Cassandra|HBase|Python|Flink|Elasticsearch|Docker|Spark,TopDev,https://topdev.vn/job/de002,2026-03-30,2026-04-02
DE003,Senior Data Engineer,Mobile World Group,Ho Chi Minh City,47000000.0,62000000.0,VND,4.0,6.0,Full-time,False,"Lead the technical design and architectural evolution of enterprise data lakes and data streaming infrastructure for millions of daily active users. Primary technologies include Kafka, SQL, AWS, Azure.",Kafka|SQL|AWS|Azure|dbt,LinkedIn,https://linkedin.com/jobs/de003,2025-02-05,2025-02-06
DE004,Data Engineer,FE Credit,Hanoi,29000000.0,41000000.0,VND,3.0,6.0,Full-time,False,"Build robust batch and stream processing pipelines using Spark, Airflow, and Cloud data services. Collaborate with data scientists and analysts to provide clean datasets. Primary technologies include GCP, dbt, BigQuery, AWS.",GCP|dbt|BigQuery|AWS|Redshift|Python|SQL|Kubernetes,LinkedIn,https://linkedin.com/jobs/de004,2026-05-22,2026-05-25
DE005,Junior Data Engineer,SeABank,Da Nang,14000000.0,32000000.0,VND,0.0,3.0,Full-time,True,"Assist data engineering team in ETL pipeline development, database maintenance, data quality monitoring, and writing SQL transformations. Primary technologies include MySQL, Docker, Pandas, Airflow.",MySQL|Docker|Pandas|Airflow|Spark|ETL,TopDev,https://topdev.vn/job/de005,2026-06-25,2026-06-30
DE006,Junior Data Engineer,VietinBank,Ho Chi Minh City,12000000.0,29000000.0,VND,0.0,4.0,Full-time,False,"Entry-level Data Engineer responsible for data cleaning, basic data pipeline maintenance, schema migrations, and assisting BI team. Primary technologies include Airflow, Git, Python, MySQL.",Airflow|Git|Python|MySQL|Pandas,TopDev,https://topdev.vn/job/de006,2026-04-30,2026-05-05
DE007,Junior Data Engineer,Renesas Design Vietnam,Ho Chi Minh City,13000000.0,32000000.0,VND,0.0,1.0,Full-time,True,"Develop, test and support data integration workflows using Python and SQL. Great opportunity to learn big data technologies and cloud infrastructure. Primary technologies include SQL, Python, Git, ETL.",SQL|Python|Git|ETL|Pandas|dbt,TopDev,https://topdev.vn/job/de007,2024-09-26,2024-10-01
DE008,Lead Data Engineer,Axon Vietnam,Hanoi,80000000.0,108000000.0,VND,6.0,9.0,Full-time,False,"Provide strategic leadership and architectural oversight for the entire data engineering department. Align data strategy with overarching corporate objectives. Primary technologies include Azure, Data Governance, AWS, Kubernetes.",Azure|Data Governance|AWS|Kubernetes,TopDev,https://topdev.vn/job/de008,2026-04-04,2026-04-05
DE009,Senior Data Engineer,ZaloPay,Hanoi,51000000.0,65000000.0,VND,5.0,6.0,Full-time,False,"Lead the technical design and architectural evolution of enterprise data lakes and data streaming infrastructure for millions of daily active users. Primary technologies include Databricks, dbt, Azure, Elasticsearch.",Databricks|dbt|Azure|Elasticsearch|Spark|ClickHouse|Docker|Java,LinkedIn,https://linkedin.com/jobs/de009,2026-08-11,2026-08-14
DE010,Senior Data Engineer,Tiki,Hanoi,,,VND,4.0,6.0,Full-time,False,"Design highly available, cost-effective data pipelines and lakehouse solutions. Drive data engineering standards, monitoring, and infrastructure as code. Primary technologies include ClickHouse, Kafka, Java, SQL.",ClickHouse|Kafka|Java|SQL|Flink|Python,LinkedIn,https://linkedin.com/jobs/de010,2026-04-28,2026-05-02
DE011,Junior Data Engineer,TMA Solutions,Hanoi,12000000.0,36000000.0,VND,0.0,1.0,Full-time,True,"Participate in building and optimizing basic data ingestion pipelines. Work closely with senior engineers to transform raw operational datasets into analytical tables. Primary technologies include SQL, MySQL, Pandas, Python.",SQL|MySQL|Pandas|Python|Spark|Linux|PostgreSQL|Airflow|Git,TopDev,https://topdev.vn/job/de011,2026-04-09,2026-04-10
DE012,Big Data Engineer,Grab Vietnam,Da Nang,42000000.0,58000000.0,VND,3.0,4.0,Full-time,False,"Maintain distributed computing clusters (Hadoop, Spark, Kafka), tuning shuffle performance, and orchestrating batch ETL workloads. Primary technologies include Kafka, Elasticsearch, Scala, SQL.",Kafka|Elasticsearch|Scala|SQL|Spark|Airflow|Flink|AWS|HBase|Hadoop,TopDev,https://topdev.vn/job/de012,2026-03-31,2026-04-04
DE013,Senior Data Engineer,Sacombank,Hanoi,42000000.0,58000000.0,VND,4.0,5.0,Full-time,True,"Architect and optimize high-throughput distributed data systems using Apache Spark, Kafka, and Snowflake/Databricks with strict SLAs. Primary technologies include Kubernetes, GCP, SQL, Kafka.",Kubernetes|GCP|SQL|Kafka|Java|Flink|Docker,ITviec,https://itviec.com/job/de013,2026-05-18,2026-05-20
DE014,Data Engineer,KienlongBank,Hanoi,30000000.0,42000000.0,VND,3.0,7.0,Full-time,False,"Build robust batch and stream processing pipelines using Spark, Airflow, and Cloud data services. Collaborate with data scientists and analysts to provide clean datasets. Primary technologies include Docker, GCP, dbt, AWS.",Docker|GCP|dbt|AWS,VietnamWorks,https://vietnamworks.com/job/de014,2025-12-19,2025-12-21
DE015,Data Engineer,BAP Software,Da Nang,28000000.0,48000000.0,VND,3.0,5.0,Full-time,False,"Build robust batch and stream processing pipelines using Spark, Airflow, and Cloud data services. Collaborate with data scientists and analysts to provide clean datasets. Primary technologies include GCP, Python, BigQuery, PostgreSQL.",GCP|Python|BigQuery|PostgreSQL|AWS,ITviec,https://itviec.com/job/de015,2026-07-06,2026-07-09
DE016,Data Engineer,Sacombank,Ho Chi Minh City,31000000.0,44000000.0,VND,3.0,6.0,Full-time,False,"Responsible for building and operating real-time and batch data infrastructure, ensuring low latency, data integrity, and high reliability. Primary technologies include dbt, Spark, SQL, Docker.",dbt|Spark|SQL|Docker|Python|Azure|Kubernetes|AWS|Databricks,LinkedIn,https://linkedin.com/jobs/de016,2026-06-10,2026-06-13
DE017,Data Engineer,TH True Milk,Ho Chi Minh City,25000000.0,38000000.0,VND,2.0,5.0,Full-time,False,"Manage enterprise ETL/ELT pipelines, dimensional data modeling (Kimball), data quality automation, and performance tuning on cloud databases. Primary technologies include Azure, Databricks, Docker, SQL.",Azure|Databricks|Docker|SQL|PostgreSQL|AWS|dbt,TopDev,https://topdev.vn/job/de017,2026-03-01,2026-03-02
DE018,Data Engineer,Luvina Software,Ho Chi Minh City,31000000.0,56000000.0,VND,2.0,6.0,Full-time,False,"Manage enterprise ETL/ELT pipelines, dimensional data modeling (Kimball), data quality automation, and performance tuning on cloud databases. Primary technologies include Databricks, dbt, PostgreSQL, Python.",Databricks|dbt|PostgreSQL|Python|Redshift|AWS|SQL,LinkedIn,https://linkedin.com/jobs/de018,2025-11-01,2025-11-04
DE019,Data Engineer,NashTech,Ho Chi Minh City,,,VND,3.0,4.0,Contract,False,"Design, implement and maintain end-to-end scalable data pipelines and modern data warehouse solutions supporting high-volume business operations. Primary technologies include Kafka, Spark, Airflow, Docker.",Kafka|Spark|Airflow|Docker|SQL|Python|PostgreSQL|BigQuery,LinkedIn,https://linkedin.com/jobs/de019,2025-03-26,2025-03-31
DE020,Data Engineer,Line Vietnam,Hanoi,29000000.0,50000000.0,VND,2.0,5.0,Internship,False,"Responsible for building and operating real-time and batch data infrastructure, ensuring low latency, data integrity, and high reliability. Primary technologies include Hadoop, Spark, Azure, SQL.",Hadoop|Spark|Azure|SQL|BigQuery|PostgreSQL|Docker|Databricks|Airflow|AWS,TopDev,https://topdev.vn/job/de020,2026-04-19,2026-04-23
DE021,Senior Data Engineer,TH True Milk,Ho Chi Minh City,54000000.0,75000000.0,VND,4.0,5.0,Full-time,False,"Design highly available, cost-effective data pipelines and lakehouse solutions. Drive data engineering standards, monitoring, and infrastructure as code. Primary technologies include Docker, Kubernetes, Scala, Airflow.",Docker|Kubernetes|Scala|Airflow|Kafka,ITviec,https://itviec.com/job/de021,2026-03-19,2026-03-24
DE022,Junior Data Engineer,TMA Solutions,Hanoi,11000000.0,21000000.0,VND,0.0,4.0,Full-time,False,"Participate in building and optimizing basic data ingestion pipelines. Work closely with senior engineers to transform raw operational datasets into analytical tables. Primary technologies include Pandas, Linux, SQL, MySQL.",Pandas|Linux|SQL|MySQL|dbt,ITviec,https://itviec.com/job/de022,2026-05-01,2026-05-06
DE023,Data Engineer,Shinhan Bank Vietnam,Ho Chi Minh City,30000000.0,57000000.0,VND,3.0,7.0,Full-time,False,"Build robust batch and stream processing pipelines using Spark, Airflow, and Cloud data services. Collaborate with data scientists and analysts to provide clean datasets. Primary technologies include AWS, BigQuery, Docker, Airflow.",AWS|BigQuery|Docker|Airflow|PostgreSQL|SQL|dbt|Hadoop,ITviec,https://itviec.com/job/de023,2026-06-07,2026-06-12
DE024,Data Engineer,ZaloPay,Hanoi,29000000.0,46000000.0,VND,2.0,4.0,Full-time,True,"Responsible for building and operating real-time and batch data infrastructure, ensuring low latency, data integrity, and high reliability. Primary technologies include Snowflake, Airflow, Spark, dbt.",Snowflake|Airflow|Spark|dbt|Kafka|Hive|Databricks,TopDev,https://topdev.vn/job/de024,2026-05-29,2026-06-01
DE025,Data Engineer,Vingroup,Ho Chi Minh City,30000000.0,47000000.0,VND,3.0,7.0,Full-time,False,"Build robust batch and stream processing pipelines using Spark, Airflow, and Cloud data services. Collaborate with data scientists and analysts to provide clean datasets. Primary technologies include Kubernetes, Spark, Databricks, Azure.",Kubernetes|Spark|Databricks|Azure|SQL|Python|PostgreSQL|Airflow|Docker,LinkedIn,https://linkedin.com/jobs/de025,2025-08-25,2025-08-26
DE026,Senior Data Engineer,Qualcomm Vietnam,Hanoi,47000000.0,70000000.0,VND,5.0,8.0,Full-time,True,"Spearhead large-scale data platform modernization, mentor junior data engineers, enforce best practices in CI/CD, data governance, and distributed computing. Primary technologies include Azure, SQL, Kafka, Python.",Azure|SQL|Kafka|Python|Snowflake|Airflow,LinkedIn,https://linkedin.com/jobs/de026,2025-09-24,2025-09-26
DE027,Data Engineer,Be Group,Can Tho,24000000.0,43000000.0,VND,3.0,4.0,Internship,False,"Design, implement and maintain end-to-end scalable data pipelines and modern data warehouse solutions supporting high-volume business operations. Primary technologies include SQL, BigQuery, dbt, Spark.",SQL|BigQuery|dbt|Spark|AWS|GCP|Python|Kafka,ITviec,https://itviec.com/job/de027,2026-06-11,2026-06-16
DE028,Data Engineer,Mobile World Group,Hanoi,27000000.0,49000000.0,VND,2.0,3.0,Full-time,False,"Responsible for building and operating real-time and batch data infrastructure, ensuring low latency, data integrity, and high reliability. Primary technologies include Airflow, Databricks, PostgreSQL, Redshift.",Airflow|Databricks|PostgreSQL|Redshift|Python|GCP|Kubernetes,TopDev,https://topdev.vn/job/de028,2026-03-29,2026-04-01
DE029,Data Engineer,Naver Vietnam,Ho Chi Minh City,27000000.0,53000000.0,VND,2.0,3.0,Full-time,True,"Design, implement and maintain end-to-end scalable data pipelines and modern data warehouse solutions supporting high-volume business operations. Primary technologies include Python, Spark, BigQuery, PostgreSQL.",Python|Spark|BigQuery|PostgreSQL|Redshift|SQL|Airflow|Docker,TopDev,https://topdev.vn/job/de029,2026-05-15,2026-05-19
DE030,Junior Data Engineer,Shinhan Bank Vietnam,Hanoi,13000000.0,24000000.0,VND,0.0,4.0,Full-time,True,"Entry-level Data Engineer responsible for data cleaning, basic data pipeline maintenance, schema migrations, and assisting BI team. Primary technologies include ETL, SQL, Linux, Docker.",ETL|SQL|Linux|Docker|Pandas,ITviec,https://itviec.com/job/de030,2024-08-13,2024-08-16
DE031,Senior Data Engineer,Rikkeisoft,Ho Chi Minh City,45000000.0,61000000.0,VND,5.0,8.0,Full-time,False,"Architect and optimize high-throughput distributed data systems using Apache Spark, Kafka, and Snowflake/Databricks with strict SLAs. Primary technologies include Elasticsearch, Kubernetes, SQL, GCP.",Elasticsearch|Kubernetes|SQL|GCP|ClickHouse|Spark|dbt|Snowflake|Docker,ITviec,https://itviec.com/job/de031,2026-08-14,2026-08-19
DE032,Junior Data Engineer,Saigon Technology,Ho Chi Minh City,,,VND,0.0,4.0,Full-time,False,"Participate in building and optimizing basic data ingestion pipelines. Work closely with senior engineers to transform raw operational datasets into analytical tables. Primary technologies include Airflow, Spark, ETL, Docker.",Airflow|Spark|ETL|Docker|Git|AWS|Pandas,TopDev,https://topdev.vn/job/de032,2026-03-05,2026-03-06
